hanzi;pinyin;meaning;hsk_level
挨;ái;Next to;6
癌症;áizhèng;cancer;6
爱不释手;àibúshìshǒu;So much that one cannot bear to part with it;6
爱戴;àidài;love and esteem;6
暧昧;àimèi;ambiguous;6
安宁;ānníng;"peaceful; calm";6
安详;ānxiáng;"serene; composed";6
安置;ānzhì;"put; arrange for";6
暗示;ànshì;suggest secretly;6
案件;ànjiàn;"law case; case";6
案例;ànlì;case;6
按摩;ànmó;massage;6
昂贵;ángguì;expensive;6
凹凸;āotū;concave-convex;6
熬;áo;Boil;6
奥秘;àomì;secret;6
扒;bā;"hold on to; dig up; push aside;";6
疤;bā;scar;6
巴不得;bābude;eagerly look forward to;6
巴结;bājié;stutter;6
拔苗助长;bámiáozhùzhǎng;Spoil things by excessive enthusiasm;6
把关;bǎguān;hold the pass;6
把手;bǎshou;knob;6
霸道;bàdào;overbearing;6
罢工;bàgōng;Strike;6
掰;bāi;break off with fingers and thumb;6
摆脱;bǎituō;cast off;6
拜访;bàifǎng;visit;6
拜年;bàinián;congratulate the New Year;6
拜托;bàituō;request;6
败坏;bàihuài;Corrupt;6
斑;bān;speckle;6
颁布;bānbù;"promulgate; issue";6
颁发;bānfā;"award; issue";6
版本;bǎnběn;Edition;6
半途而废;bàntú'érfèi;Give up halfway;6
伴侣;bànlǚ;"partner; mate";6
伴随;bànsuí;go with;6
扮演;bànyǎn;Play the role;6
绑架;bǎngjià;Kidnap;6
榜样;bǎngyàng;example;6
磅;bàng;pound;6
;;;
包庇;bāobì;Shield;6
包袱;bāofu;Burden;6
包围;bāowéi;Surround;6
包装;bāozhuāng;"pack; put up; make up";6
饱和;bǎohé;saturated;6
饱经沧桑;bǎojīngcāngsāng;Have seen much of the changes in human life;6
保管;bǎoguǎn;Safekeeping;6
保密;bǎomì;secrecy;6
保姆;bǎomǔ;"nurse; mammy";6
保守;bǎoshǒu;Conservative;6
保卫;bǎowèi;Defend;6
保养;bǎoyǎng;maintain;6
保障;bǎozhàng;guarantee;6
保重;bǎozhòng;take care of oneself;6
抱负;bàofù;ambition;6
报仇;bàochóu;revenge;6
报酬;bàochou;remuneration;6
报答;bàodá;"reciprocate; pay back; repay";6
报复;bàofù;Payback;6
报警;bàojǐng;call the police;6
报销;bàoxiāo;submit and expense account;6
爆发;bàofā;burst;6
爆炸;bàozhà;blast;6
曝光;bàoguāng;exposure;6
暴力;bàolì;violence;6
暴露;bàolù;Expose;6
悲哀;bēi'āi;Grief;6
悲惨;bēicǎn;miserable;6
卑鄙;bēibǐ;despicable;6
北极;běijí;arctic;6
被动;bèidòng;passive;6
被告;bèigào;Defendant;6
背叛;bèipàn;"sellout; betray";6
背诵;bèisòng;recite;6
备份;bèifèn;backups;6
备忘录;bèiwànglù;Memorandum;6
贝壳;bèikè;"shell; conch";6
奔波;bēnbō;rush about;6
奔驰;bēnchí;run quickly;6
本能;běnnéng;instinct;6
本钱;běnqián;Capital;6
本人;běnrén;oneself;6
本身;běnshēn;itself;6
;;;
本事;běnshi;Skill;6
笨拙;bènzhuō;clumsy;6
崩溃;bēngkuì;collapse breakdown;6
甭;béng;Not;6
蹦;bèng;Jump;6
迸发;bèngfā;Burst;6
逼迫;bīpò;"force; compel";6
鼻涕;bítì;nasal mucus;6
比方;bǐfāng;Example;6
比喻;bǐyù;"comparison; trope";6
比重;bǐzhòng;"specific gravity; proportion";6
鄙视;bǐshì;despise;6
臂;bì;arm;6
弊病;bìbìng;ills;6
弊端;bìduān;malpractice;6
闭塞;bìsè;Occlusion;6
鞭策;biāncè;urge on;6
编织;biānzhī;Weave;6
边疆;biānjiāng;frontier;6
边界;biānjiè;boundary;6
边境;biānjìng;"border; frontier";6
边缘;biānyuán;edge;6
扁;biǎn;flat;6
贬低;biǎndī;depreciate;6
贬义;biǎnyì;derogatory sense;6
遍布;biànbù;All over;6
便利;biànlì;facilitate;6
便条;biàntiáo;Note;6
便于;biànyú;Easy to;6
变故;biàngù;Misfortune;6
变迁;biànqiān;Changes;6
变质;biànzhì;deteriorate;6
辩护;biànhù;Defend;6
辩解;biànjiě;Explain;6
辩证;biànzhèng;dialectical;6
辨认;biànrèn;distinguish;6
辫子;biànzi;"queue; plait";6
标本;biāoběn;"specimen; demo";6
标记;biāojì;sign;6
标题;biāotí;"title; heading";6
表决;biǎojué;Vote;6
表态;biǎotài;clarify one's position;6
表彰;biǎozhāng;"commend; cite";6
;;;6
憋;biē;hold back;6
别墅;biéshù;Villa;6
别致;biézhì;Unique;6
别扭;bièniu;"unnatural; awkward";6
濒临;bīnlín;On the verge of;6
冰雹;bīngbáo;hail;6
丙;bǐng;;6
并非;bìngfēi;not so;6
并列;bìngliè;Parallel;6
拨;bō;dial;6
播种;bōzhòng;Sow;6
波浪;bōlàng;wave;6
波涛;bōtāo;waves;6
剥削;bōxuē;exploitation;6
博大精深;bódàjīngshēn;Broad and profound;6
博览会;bólǎnhuì;exposition;6
搏斗;bódòu;"struggle; fight";6
伯母;bómǔ;Aunt;6
薄弱;bóruò;weak;6
不顾;búgù;disregard;6
不愧;búkuì;Worthy;6
不料;búliào;Unexpectedly;6
不像话;búxiànghuà;unreasonable;6
不屑一顾;búxièyígù;A contemptuous disregard;6
补偿;bǔcháng;compensate;6
补救;bǔjiù;remedy;6
补贴;bǔtiē;subsidy;6
哺乳;bǔrǔ;lactation;6
捕捉;bǔzhuō;Catch;6
不得已;bùdéyǐ;have no alternative but to;6
不妨;bùfáng;might as well;6
不敢当;bùgǎndāng;I really don't deserve this.;6
不禁;bùjīn;Can not help but;6
不堪;bùkān;can't bear;6
不可思议;bùkěsīyì;It is beyond logic and above reason;6
不免;bùmiǎn;unavoidable;6
不时;bùshí;now and then;6
不惜;bùxī;"not spare; not hesitate";6
不相上下;bùxiāngshàngxià;"about the same; equally matched";6
不言而喻;bùyán'éryù;Self-evident;6
不由得;bùyóude;Cannot help;6
